URL,Arquivo,Linha,Texto,Contexto
"https://web.conformance.directory.openbankingbrasil.org.br/","add/openfinance_markdown/_geral/pdfs/Open_Banking_Informa_44.md",11,"ACESSE A PLATAFORMA DA RAIDIAM","ortância desta etapa para validação do motor.   **[ACESSE A PLATAFORMA DA RAIDIAM](https://web.confo"
"https://web.conformance.directory.openbankingbrasil.org.br/","add/openfinance_markdown/_geral/pdfs/Open_Banking_Informa_69.md",29,"ACESSE A PLATAFORMA DA RAIDIAM","ara obtenção da certificação funcional Fase 3   **[ACESSE A PLATAFORMA DA RAIDIAM](https://web.confo"
"https://gitlab.com/raidiam-conformance/open-finance/certification/-/wikis/home","add/openfinance_markdown/_geral/Diretrizes Gerais de Certificação de Conformidade.md",114,"**Release notes**","ção dos testes de conformidade funcional      -   [**Release notes**](https://gitlab.com/raidiam-con"
"https://gitlab.com/raidiam-conformance/open-finance/certification/-/issues/?label_name%5B%5D=PHASE%203%20%3A%3A%20V4","add/openfinance_markdown/_geral/Diretrizes Gerais de Certificação de Conformidade.md",122,"**Issues do motor**","talhamento do que será testado nele.          -   [**Issues do motor**](https://gitlab.com/raidiam-c"
"https://app.powerbi.com/groups/me/reports/cedb6c5e-199c-48ba-8c25-018468c2ab8b/ReportSection095753bc49cb2b709399?ctid=7531e8b3-c928-494b-9b89-7ee3d353272d&experience=power-bi&bookmarkGuid=8aefcd43-cb71-40ad-af0c-3ff03eccde95","add/openfinance_markdown/_geral/Diretrizes Gerais de Certificação de Conformidade.md",124,"**Dashboard de Acompanhamento**","m correção ou que já foram esclarecidos.      -   [**Dashboard de Acompanhamento**](https://app.powe"
"https://mailchi.mp/ca867f20a701/open-banking-informa-9389280?e=2eb7798bd9","add/openfinance_markdown/_geral/Diretrizes Gerais de Certificação de Conformidade.md",127,"Informe #431","mento do processo de pedido de acesso descrito no [Informe #431](https://mailchi.mp/ca867f20a701/ope"
"https://mailchi.mp/ca867f20a701/open-banking-informa-9389280?e=2eb7798bd9","add/openfinance_markdown/_geral/Repositório de Informes.md",3417,"https://mailchi.mp/ca867f20a701/open-banking-informa-9389280?e=2eb7798bd9","ualização da lista de problemas conhecidos_       [https://mailchi.mp/ca867f20a701/open-banking-info"
"https://www.youtube.com/@openfinancebrasil","add/openfinance_markdown/_geral/Diretrizes Gerais de Certificação de Conformidade.md",145,"Canal do Youtube do Open Finance Brasil","dos comunicados enviados ao ecossistema;      -   [Canal do Youtube do Open Finance Brasil](https://"
"https://openfinancebrasil.atlassian.net/wiki/download/attachments/17378905/20230124_Orienta%C3%A7%C3%B5es%20sobre%20certifica%C3%A7%C3%B5es.pptx?api=v2","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",12,"Orientações para Certificação","Certificação de Conformidade e no material sobre [Orientações para Certificação](https://openfinanc"
"https://openfinancebrasil.atlassian.net/wiki/download/attachments/17378905/20230124_Orienta%C3%A7%C3%B5es%20sobre%20certifica%C3%A7%C3%B5es.pptx?api=v2","add/openfinance_markdown/_geral/FAQ - Testes e Homologação.md",127,"Orientações para Certificação","certificação”?**  O documento está disponível em: [Orientações para Certificação](https://openfinanc"
